id,focus,signal,slack,drag,confidence,score,lane
l001,nonce pressure,35,33,6,25,201,ship
l002,settlement risk,35,34,6,55,233,ship
l003,proof depth,35,35,6,85,265,ship
l004,event finality,35,36,18,25,147,watch
l005,nonce pressure,35,37,18,55,179,ship
l006,settlement risk,35,38,18,85,211,ship
l007,proof depth,35,39,34,25,73,hold
l008,event finality,35,40,34,55,105,hold
l009,nonce pressure,35,41,34,85,137,watch
l010,settlement risk,60,42,6,25,319,ship
l011,proof depth,60,43,6,55,351,ship
l012,event finality,60,44,6,85,383,ship
l013,nonce pressure,60,45,18,25,265,ship
l014,settlement risk,60,46,18,55,297,ship
l015,proof depth,60,47,18,85,329,ship
l016,event finality,60,48,34,25,191,ship
l017,nonce pressure,60,32,34,55,189,ship
l018,settlement risk,60,33,34,85,221,ship
l019,proof depth,85,34,6,25,403,ship
l020,event finality,85,35,6,55,435,ship
l021,nonce pressure,85,36,6,85,467,ship
l022,settlement risk,85,37,18,25,349,ship
l023,proof depth,85,38,18,55,381,ship
l024,event finality,85,39,18,85,413,ship
l025,nonce pressure,85,40,34,25,275,ship
l026,settlement risk,85,41,34,55,307,ship
l027,proof depth,85,42,34,85,339,ship
